name,postal,full_address,category,phone,designation_date,capacity
清輝児童センター,700-0863,岡山県岡山市北区新道2-20,jidoukan,086-225-6124,,
旭東児童センター,703-8286,岡山県岡山市中区旭東町二丁目2-12,jidoukan,086-272-8902,,
三門児童センター,700-0044,岡山県岡山市北区三門西町6-32,jidoukan,086-254-9775,,
財田児童センター,703-8225,岡山県岡山市中区神下535,jidoukan,086-279-6393,,
大井児童館,701-1462,岡山県岡山市北区大井2382-1,jidoukan,086-295-0915,,
富原児童館,701-1153,岡山県岡山市北区富原1140,jidoukan,086-254-9727,,
浜川原児童館,703-8256,岡山県岡山市中区浜一丁目3-16,jidoukan,086-272-4997,,
久保東児童館,704-8103,岡山県岡山市東区河本町3,jidoukan,086-942-8031,,
宿毛児童館,704-8133,岡山県岡山市東区宿毛628,jidoukan,086-946-1475,,
馬屋下児童館,701-1223,岡山県岡山市北区大窪49-5,jidoukan,086-284-0408,,
平津児童館,701-1202,岡山県岡山市北区楢津2232-2,jidoukan,086-284-0348,,
興除児童館,701-0214,岡山県岡山市南区曽根347-1,jidoukan,086-298-2501,,
藤田児童館,701-0221,岡山県岡山市南区藤田724-128,jidoukan,086-296-2994,,
植松児童館,710-0151,岡山県岡山市南区植松397,jidoukan,086-485-5210,,
片岡児童館,709-1215,岡山県岡山市南区片岡1030-4,jidoukan,086-362-2888,,
児童館ゆう遊プラザ,709-0861,岡山県岡山市東区瀬戸町瀬戸143-2,jidoukan,086-908-0415,,
七区児童館,709-1201,岡山県岡山市南区北七区61-8,jidoukan,086-362-4446,,
ふれあい児童館,702-8002,岡山県岡山市中区桑野715-2,jidoukan,086-274-5156,,
西大寺ふれあい児童館,704-8116,岡山県岡山市東区西大寺中二丁目16-33,jidoukan,086-944-1830,,
西ふれあい児童館,704-0205,岡山県岡山市南区妹尾880-1,jidoukan,086-281-9622,,
南ふれあい児童館,702-8021,岡山県岡山市南区福田690-1,jidoukan,086-261-7046,,
北ふれあい児童館,700-0071,岡山県岡山市北区谷万成二丁目6-33,jidoukan,086-251-6504,,
なかよし地域子育て支援センター,700-0033,岡山県岡山市北区島田本町1-4-41,kyoten,,,
せのおほいくえん子育て支援センター「のびのび」,701-0205,岡山県岡山市南区妹尾1368-1,kyoten,,,
しろばら保育園地域子育て支援センター,700-0945,岡山県岡山市南区新保417-1,kyoten,,,
第二すみれ保育園子育て支援センター,701-1464,岡山県岡山市北区下足守1545-1,kyoten,,,
岡山南子育て支援センター（かわい保育園）,702-8027,岡山県岡山市南区芳泉3-4-5,kyoten,,,
岡山中央子育て支援センター,700-0821,岡山県岡山市北区中山下2-7-45,kyoten,,,
白鳩保育園・白鳩子育て支援センター,702-8032,岡山県岡山市南区福富中二丁目223-2,kyoten,,,
高島だいいち子育て支援センター,703-8205,岡山県岡山市中区中井61-7,kyoten,,,
ちとせ子育て支援センター,704-8175,岡山県岡山市東区益野町40,kyoten,,,
くまの子保育園 あじさい地域子育て支援センター,704-8183,岡山県岡山市東区西大寺松崎302-1,kyoten,,,
認定こども園白ゆり子育て支援センター,701-1214,岡山県岡山市北区辛川市場321-1,kyoten,,,
操南子育て支援センター,702-8005,岡山県岡山市中区江崎380-1,kyoten,,,
御南認定こども園 地域子育て支援センター『ラ・まのクラブ』,701-0145,岡山県岡山市北区今保247-1,kyoten,,,
こうほく子育て支援センター,700-0081,岡山県岡山市北区津島東2-2-20,kyoten,,,
第一吉備こども園子育て支援センター,701-0151,岡山県岡山市北区平野1071-1,kyoten,,,
おおふくこども園地域子育て支援センター,701-0204,岡山県岡山市南区大福760-2,kyoten,,,
南方岡山中央地域子育て支援センター,700-0811,岡山県岡山市北区南方1-3-30,kyoten,,,
御津金川地域子育て支援センター,709-2133,岡山県岡山市北区御津金川476,kyoten,,,
