name,postal,full_address,category,phone,designation_date,capacity,geocode_query,geocode_status,lat,lng,matched_title,n_candidates
清輝児童センター,700-0863,岡山県岡山市北区新道2-20,jidoukan,086-225-6124,,,岡山県岡山市北区新道2-20,matched,34.649483,133.926208,岡山県岡山市北区新道２番地,1
旭東児童センター,703-8286,岡山県岡山市中区旭東町二丁目2-12,jidoukan,086-272-8902,,,岡山県岡山市中区旭東町二丁目2-12,matched,34.651741,133.93689,岡山県岡山市中区旭東町二丁目２番１２号,1
三門児童センター,700-0044,岡山県岡山市北区三門西町6-32,jidoukan,086-254-9775,,,岡山県岡山市北区三門西町6-32,matched,34.669727,133.900497,岡山県岡山市北区三門西町６番３２号,1
財田児童センター,703-8225,岡山県岡山市中区神下535,jidoukan,086-279-6393,,,岡山県岡山市中区神下535,matched,34.676514,133.98526,岡山県岡山市中区神下５３５番地,1
大井児童館,701-1462,岡山県岡山市北区大井2382-1,jidoukan,086-295-0915,,,岡山県岡山市北区大井2382-1,matched,34.739254,133.799683,岡山県岡山市北区大井２３８２番地,1
富原児童館,701-1153,岡山県岡山市北区富原1140,jidoukan,086-254-9727,,,岡山県岡山市北区富原1140,matched,34.694427,133.8936,岡山県岡山市北区富原１１４０番地,1
浜川原児童館,703-8256,岡山県岡山市中区浜一丁目3-16,jidoukan,086-272-4997,,,岡山県岡山市中区浜一丁目3-16,matched,34.673454,133.93428,岡山県岡山市中区浜一丁目３番１６号,1
久保東児童館,704-8103,岡山県岡山市東区河本町3,jidoukan,086-942-8031,,,岡山県岡山市東区河本町3,matched,34.663948,134.050201,岡山県岡山市東区河本町３番地,1
宿毛児童館,704-8133,岡山県岡山市東区宿毛628,jidoukan,086-946-1475,,,岡山県岡山市東区宿毛628,matched,34.622807,134.08992,岡山県岡山市東区宿毛６２８番地,1
馬屋下児童館,701-1223,岡山県岡山市北区大窪49-5,jidoukan,086-284-0408,,,岡山県岡山市北区大窪49-5,matched,34.696049,133.861877,岡山県岡山市北区大窪４９番地,1
平津児童館,701-1202,岡山県岡山市北区楢津2232-2,jidoukan,086-284-0348,,,岡山県岡山市北区楢津2232-2,matched,34.681782,133.882141,岡山県岡山市北区楢津２２３２番地,1
興除児童館,701-0214,岡山県岡山市南区曽根347-1,jidoukan,086-298-2501,,,岡山県岡山市南区曽根347-1,matched,34.568756,133.84317,岡山県岡山市南区曽根３４７番地,1
藤田児童館,701-0221,岡山県岡山市南区藤田724-128,jidoukan,086-296-2994,,,岡山県岡山市南区藤田724-128,matched,34.619492,133.899887,岡山県岡山市南区藤田７２４番地,1
植松児童館,710-0151,岡山県岡山市南区植松397,jidoukan,086-485-5210,,,岡山県岡山市南区植松397,matched,34.549278,133.822571,岡山県岡山市南区植松３９７番地,1
片岡児童館,709-1215,岡山県岡山市南区片岡1030-4,jidoukan,086-362-2888,,,岡山県岡山市南区片岡1030-4,matched,34.541183,133.863159,岡山県岡山市南区片岡１０３０番地,1
児童館ゆう遊プラザ,709-0861,岡山県岡山市東区瀬戸町瀬戸143-2,jidoukan,086-908-0415,,,岡山県岡山市東区瀬戸町瀬戸143-2,matched,34.735638,134.040512,岡山県岡山市東区瀬戸町瀬戸１４３番地,1
七区児童館,709-1201,岡山県岡山市南区北七区61-8,jidoukan,086-362-4446,,,岡山県岡山市南区北七区61-8,matched,34.555668,133.909973,岡山県岡山市南区北七区６１番地,1
ふれあい児童館,702-8002,岡山県岡山市中区桑野715-2,jidoukan,086-274-5156,,,岡山県岡山市中区桑野715-2,matched,34.617508,133.979797,岡山県岡山市中区桑野７１５番地,1
西大寺ふれあい児童館,704-8116,岡山県岡山市東区西大寺中二丁目16-33,jidoukan,086-944-1830,,,岡山県岡山市東区西大寺中二丁目16-33,matched,34.656258,134.035248,岡山県岡山市東区西大寺中二丁目１６番３３号,1
西ふれあい児童館,704-0205,岡山県岡山市南区妹尾880-1,jidoukan,086-281-9622,,,岡山県岡山市南区妹尾880-1,matched,34.611023,133.86348,岡山県岡山市南区妹尾８８０番地,1
南ふれあい児童館,702-8021,岡山県岡山市南区福田690-1,jidoukan,086-261-7046,,,岡山県岡山市南区福田690-1,matched,34.617844,133.918259,岡山県岡山市南区福田６９０番地,1
北ふれあい児童館,700-0071,岡山県岡山市北区谷万成二丁目6-33,jidoukan,086-251-6504,,,岡山県岡山市北区谷万成二丁目6-33,matched,34.679111,133.895447,岡山県岡山市北区谷万成二丁目６番３３号,1
なかよし地域子育て支援センター,700-0033,岡山県岡山市北区島田本町1-4-41,kyoten,,,,岡山県岡山市北区島田本町1-4-41,matched,34.662819,133.908356,岡山県岡山市北区島田本町一丁目４番４１号,1
せのおほいくえん子育て支援センター「のびのび」,701-0205,岡山県岡山市南区妹尾1368-1,kyoten,,,,岡山県岡山市南区妹尾1368-1,matched,34.611,133.867569,岡山県岡山市南区妹尾１３６８番地,1
しろばら保育園地域子育て支援センター,700-0945,岡山県岡山市南区新保417-1,kyoten,,,,岡山県岡山市南区新保417-1,matched,34.638725,133.912109,岡山県岡山市南区新保４１７番地,1
第二すみれ保育園子育て支援センター,701-1464,岡山県岡山市北区下足守1545-1,kyoten,,,,岡山県岡山市北区下足守1545-1,matched,34.720539,133.813873,岡山県岡山市北区下足守,1
岡山南子育て支援センター（かわい保育園）,702-8027,岡山県岡山市南区芳泉3-4-5,kyoten,,,,岡山県岡山市南区芳泉3-4-5,matched,34.623711,133.919052,岡山県岡山市南区芳泉三丁目４番５号,1
岡山中央子育て支援センター,700-0821,岡山県岡山市北区中山下2-7-45,kyoten,,,,岡山県岡山市北区中山下2-7-45,matched,34.659748,133.927002,岡山県岡山市北区中山下二丁目７番４５号,1
白鳩保育園・白鳩子育て支援センター,702-8032,岡山県岡山市南区福富中二丁目223-2,kyoten,,,,岡山県岡山市南区福富中二丁目223-2,matched,34.620712,133.935913,岡山県岡山市南区福富中二丁目,1
高島だいいち子育て支援センター,703-8205,岡山県岡山市中区中井61-7,kyoten,,,,岡山県岡山市中区中井61-7,matched,34.689598,133.959808,岡山県岡山市中区中井,1
ちとせ子育て支援センター,704-8175,岡山県岡山市東区益野町40,kyoten,,,,岡山県岡山市東区益野町40,matched,34.659126,133.998978,岡山県岡山市東区益野町４０番地,1
くまの子保育園 あじさい地域子育て支援センター,704-8183,岡山県岡山市東区西大寺松崎302-1,kyoten,,,,岡山県岡山市東区西大寺松崎302-1,matched,34.663914,134.012512,岡山県岡山市東区西大寺松崎,1
認定こども園白ゆり子育て支援センター,701-1214,岡山県岡山市北区辛川市場321-1,kyoten,,,,岡山県岡山市北区辛川市場321-1,matched,34.687,133.865005,岡山県岡山市北区辛川市場,1
操南子育て支援センター,702-8005,岡山県岡山市中区江崎380-1,kyoten,,,,岡山県岡山市中区江崎380-1,matched,34.62225,133.959686,岡山県岡山市中区江崎,1
御南認定こども園 地域子育て支援センター『ラ・まのクラブ』,701-0145,岡山県岡山市北区今保247-1,kyoten,,,,岡山県岡山市北区今保247-1,matched,34.64082,133.872452,岡山県岡山市北区今保２４７番地,1
こうほく子育て支援センター,700-0081,岡山県岡山市北区津島東2-2-20,kyoten,,,,岡山県岡山市北区津島東2-2-20,matched,34.689831,133.927963,岡山県岡山市北区津島東二丁目２番２０号,1
第一吉備こども園子育て支援センター,701-0151,岡山県岡山市北区平野1071-1,kyoten,,,,岡山県岡山市北区平野1071-1,matched,34.643494,133.857758,岡山県岡山市北区平野,1
おおふくこども園地域子育て支援センター,701-0204,岡山県岡山市南区大福760-2,kyoten,,,,岡山県岡山市南区大福760-2,matched,34.62138,133.888153,岡山県岡山市南区大福７６０番地,1
南方岡山中央地域子育て支援センター,700-0811,岡山県岡山市北区南方1-3-30,kyoten,,,,岡山県岡山市北区南方1-3-30,matched,34.672226,133.923553,岡山県岡山市北区南方一丁目３番,1
御津金川地域子育て支援センター,709-2133,岡山県岡山市北区御津金川476,kyoten,,,,岡山県岡山市北区御津金川476,matched,34.796734,133.927658,岡山県岡山市北区御津金川,1
岡山市彦崎地域子育て支援センター,709-1213,岡山県岡山市南区彦崎2570-1,kyoten,,,,岡山県岡山市南区彦崎2570-1,matched,34.547504,133.83577,岡山県岡山市南区彦崎２５７０番地,1
就実子育てアカデミー事業「親子ふれあいタイム」,703-8258,岡山県岡山市中区西川原1-6-1,kyoten,,,,岡山県岡山市中区西川原1-6-1,matched,34.676815,133.93541,岡山県岡山市中区西川原一丁目６番１号,1
さくら広場,703-8555,岡山県岡山市北区祇園866,kyoten,,,,岡山県岡山市北区祇園866,matched,34.708469,133.95816,岡山県岡山市北区祇園８６６番地,1
子育てひろばよしい川,704-8126,岡山県岡山市東区西大寺浜608,kyoten,,,,岡山県岡山市東区西大寺浜608,matched,34.644958,134.040207,岡山県岡山市東区西大寺浜,1
おかやまプレーパーク,700-0011,岡山県岡山市北区学南町3-6-1,kyoten,,,,岡山県岡山市北区学南町3-6-1,matched,34.68214,133.923416,岡山県岡山市北区学南町三丁目６番１号,1
みなん和やかサロン,701-0144,岡山県岡山市北区久米348,kyoten,,,,岡山県岡山市北区久米348,matched,34.646255,133.873993,岡山県岡山市北区久米３４８番地,1
