name,postal,full_address,category,phone,designation_date,capacity
めろん島,700-0026,岡山県岡山市北区奉還町１丁目２－１３,tsusho,090-4658-7738,H24.4.1,10
ふるーつ村,700-0026,岡山県岡山市北区奉還町１丁目２番１２号,tsusho,086-254-7768,H24.4.1,10
児童デイサービス『ももっこ』,701-0142,岡山県岡山市北区白石西新町６－１０８,tsusho,086-250-5430,H24.4.1,10
もりもりめろん広場,701-0135,岡山県岡山市北区東花尻３９６－１,tsusho,080-1916-8215,H24.4.1,10
岡山白ゆり発達支援センター,701-1214,岡山県岡山市北区辛川市場317-3,tsusho,086-284-8121,H24.4.1,10
デイサービスもみの木,701-1463,岡山県岡山市北区足守2389,tsusho,086-230-7120,H24.4.1,10
おれんじ村,700-0026,岡山県岡山市北区奉還町一丁目５－２,tsusho,090-7133-7708,H25.7.1,10
カヤノコ島,700-0951,岡山県岡山市北区田中150-101,tsusho,086-201-0109,H25.11.1,10
ぷらすワン大元,700-0925,岡山県岡山市北区大元上町１０-２８ メゾン旭１０１,tsusho,086-243-4474,H26.1.1,10
療育センターももっこ,701-1464,岡山県岡山市北区下足守１６２７－１,tsusho,086-295-2017,H26.5.1,10
ハック,700-0986,岡山県岡山市北区新屋敷町三丁目19番26号,tsusho,080-7183-4646,H27.5.1,10
おひさま Kids,700-0951,岡山県岡山市北区田中164-114,tsusho,086-244-6789,H27.11.1,10
サンクルール今事業所,700-0975,岡山県岡山市北区今8丁目6-14,tsusho,086-246-7016,H28.4.1,10
こどもサポート教室きらり岡山平田校,700-0952,岡山県岡山市北区平田113-106,tsusho,086-728-5525,H28.4.1,10
パステル田中事業所,700-0951,岡山県岡山市北区田中129番地104,tsusho,086-239-5656,H28.5.1,10
晴る日 高柳事業所,700-0035,岡山県岡山市北区高柳西町9番3号,tsusho,086-239-7688,H28.6.1,20
ワルツ,700-0031,岡山県岡山市北区富町1丁目2-4,tsusho,086-250-6450,H28.7.1,10
あそび王国 野田本部事業所,700-0971,岡山県岡山市北区野田３丁目６－７,tsusho,086-239-0107,H28.7.1,20
放課後等デイサービスしん,700-0803,岡山県岡山市北区北方1丁目10-5,tsusho,086-953-4240,H28.7.1,10
雨上がりの夜空に,700-0975,岡山県岡山市北区今2-3-110,tsusho,086-250-7367,H28.9.1,20
トムソーヤ野田教室,700-0971,岡山県岡山市北区野田3丁目18-40丸山ビル1F,tsusho,086-363-1144,H29.3.1,10
インクルーシブ教室 白ゆり,701-1214,岡山県岡山市北区辛川市場321-3,tsusho,086-238-1110,H29.4.1,10
こども発達支援センターばんばん,700-0833,岡山県岡山市北区天瀬2-21（２F）,tsusho,086-238-4715,H29.5.1,10
びーふらっと,700-0975,岡山県岡山市北区今6丁目14番20号 プロキオンII 1F西号室,tsusho,086-244-2423,H29.5.1,10
COMPASS発達支援センター岡山,700-0921,岡山県岡山市北区東古松3丁目4-14,tsusho,086-222-0178,H29.6.1,20
星とたんぽぽ,700-0934,岡山県岡山市北区奥田南町4-59,tsusho,086-236-8808,H29.7.1,10
きもちとことばのはぐくみ教室,700-0985,岡山県岡山市北区厚生町二丁目2番14号 サンハイム厚生町206号室,tsusho,086-224-6012,H29.9.1,10
こどもサポート教室きらり備前三門校,700-0051,岡山県岡山市北区下伊福上町15-20,tsusho,086-230-7533,H29.10.1,10
KIDS*FIRST,700-0817,岡山県岡山市北区弓之町15番32号,tsusho,086-232-8700,H30.7.1,10
トムソーヤ十日市教室,700-0856,岡山県岡山市北区十日市西町6-8,tsusho,070-3189-1577,H30.7.1,10
児童多機能型事業所 プラス・スタイル,700-0026,岡山県岡山市北区奉還町４丁目3-10,tsusho,086-259-4670,H30.11.1,10
すたさぽ,700-0811,岡山県岡山市北区番町１丁目１４－３４,tsusho,086-232-8808,H31.1.1,10
アクティブスペースみらい辰巳店,700-0976,岡山県岡山市北区辰巳２－１０４,tsusho,086-245-2626,H31.2.1,10
でいさーびす あいりんご3,701-0164,岡山県岡山市北区撫川３５３番地２,tsusho,086-362-7192,H31.4.1,10
児童発達支援事業所ドルフィン庭瀬,701-0151,岡山県岡山市北区平野７１６番地２ 平野木下ビル2階,tsusho,086-259-2235,R1.5.1,10
パステル御南事業所,701-0145,岡山県岡山市北区今保２４０－６,tsusho,086-230-6767,R1.5.1,10
HAPPY SMILE 2nd,701-0164,岡山県岡山市北区撫川１１８７－１６,tsusho,086-250-4220,R1.6.1,10
GLAD,700-0811,岡山県岡山市北区番町２丁目６－１ 番町アパート2階,tsusho,086-230-1296,R2.1.1,10
トムソーヤ大元教室,700-0972,岡山県岡山市北区上中野２－４－５,tsusho,086-250-1638,R2.3.1,10
こども発達支援センターばんばんLab.,700-0951,岡山県岡山市北区田中182-106,tsusho,086-728-5608,R2.4.1,10
てらぴぁぽけっと岡山中仙道教室,700-0951,岡山県岡山市北区田中124-107,tsusho,086-259-2127,R2.5.1,10
まなてぃ,700-0866,岡山県岡山市北区岡南町2丁目1番5号 3階,tsusho,086-226-4000,R3.1.1,10
すくすく塾 大元,700-0924,岡山県岡山市北区大元2丁目1-18,tsusho,086-250-1463,R3.2.1,10
放課後等デイサービスcampus,700-0803,岡山県岡山市北区北方3-6-20 YSハイツ北方2階,tsusho,086-230-2277,R3.3.1,10
あいぐらんアップ 大元教室,700-0986,岡山県岡山市北区新屋敷町3丁目5-21,tsusho,086-259-4640,R3.4.1,10
こども発達LABO.Proリハ東古松,700-0921,岡山県岡山市北区東古松2-2-9うてんて103,tsusho,080-5751-3472,R3.4.1,10
