name,postal,full_address,category,phone,designation_date,capacity,geocode_query,geocode_status,lat,lng,matched_title,n_candidates
めろん島,700-0026,岡山県岡山市北区奉還町１丁目２－１３,tsusho,090-4658-7738,H24.4.1,10,岡山県岡山市北区奉還町1丁目2-13,matched,34.668682,133.917572,岡山県岡山市北区奉還町一丁目２番１３号,1
ふるーつ村,700-0026,岡山県岡山市北区奉還町１丁目２番１２号,tsusho,086-254-7768,H24.4.1,10,岡山県岡山市北区奉還町1丁目2-12,matched,34.668598,133.917557,岡山県岡山市北区奉還町一丁目２番１２号,1
児童デイサービス『ももっこ』,701-0142,岡山県岡山市北区白石西新町６－１０８,tsusho,086-250-5430,H24.4.1,10,岡山県岡山市北区白石西新町6-108,matched,34.655552,133.868652,岡山県岡山市北区白石西新町６番,1
もりもりめろん広場,701-0135,岡山県岡山市北区東花尻３９６－１,tsusho,080-1916-8215,H24.4.1,10,岡山県岡山市北区東花尻396-1,matched,34.654747,133.862961,岡山県岡山市北区東花尻,1
岡山白ゆり発達支援センター,701-1214,岡山県岡山市北区辛川市場317-3,tsusho,086-284-8121,H24.4.1,10,岡山県岡山市北区辛川市場317-3,matched,34.687,133.865005,岡山県岡山市北区辛川市場,1
デイサービスもみの木,701-1463,岡山県岡山市北区足守2389,tsusho,086-230-7120,H24.4.1,10,岡山県岡山市北区足守2389,matched,34.729027,133.809296,岡山県岡山市北区足守２３８９番地,1
おれんじ村,700-0026,岡山県岡山市北区奉還町一丁目５－２,tsusho,090-7133-7708,H25.7.1,10,岡山県岡山市北区奉還町一丁目5-2,matched,34.669163,133.918259,岡山県岡山市北区奉還町一丁目５番２号,1
カヤノコ島,700-0951,岡山県岡山市北区田中150-101,tsusho,086-201-0109,H25.11.1,10,岡山県岡山市北区田中150-101,matched,34.644386,133.878876,岡山県岡山市北区田中１５０番地,1
ぷらすワン大元,700-0925,岡山県岡山市北区大元上町１０-２８ メゾン旭１０１,tsusho,086-243-4474,H26.1.1,10,岡山県岡山市北区大元上町10-28メゾン旭101,matched,34.648468,133.899933,岡山県岡山市北区大元上町１０番２８号,1
療育センターももっこ,701-1464,岡山県岡山市北区下足守１６２７－１,tsusho,086-295-2017,H26.5.1,10,岡山県岡山市北区下足守1627-1,matched,34.720539,133.813873,岡山県岡山市北区下足守,1
ハック,700-0986,岡山県岡山市北区新屋敷町三丁目19番26号,tsusho,080-7183-4646,H27.5.1,10,岡山県岡山市北区新屋敷町三丁目19-26,matched,34.652622,133.906967,岡山県岡山市北区新屋敷町三丁目１９番２６号,1
おひさま Kids,700-0951,岡山県岡山市北区田中164-114,tsusho,086-244-6789,H27.11.1,10,岡山県岡山市北区田中164-114,matched,34.64143,133.87767,岡山県岡山市北区田中１６４番地,1
サンクルール今事業所,700-0975,岡山県岡山市北区今8丁目6-14,tsusho,086-246-7016,H28.4.1,10,岡山県岡山市北区今8丁目6-14,matched,34.636299,133.894806,岡山県岡山市北区今八丁目６番１４号,1
こどもサポート教室きらり岡山平田校,700-0952,岡山県岡山市北区平田113-106,tsusho,086-728-5525,H28.4.1,10,岡山県岡山市北区平田113-106,matched,34.636486,133.885483,岡山県岡山市北区平田１１３番地,1
パステル田中事業所,700-0951,岡山県岡山市北区田中129番地104,tsusho,086-239-5656,H28.5.1,10,岡山県岡山市北区田中129-104,matched,34.644226,133.880127,岡山県岡山市北区田中１２９番地,1
晴る日 高柳事業所,700-0035,岡山県岡山市北区高柳西町9番3号,tsusho,086-239-7688,H28.6.1,20,岡山県岡山市北区高柳西町9-3,matched,34.659515,133.896484,岡山県岡山市北区高柳西町９番３号,1
ワルツ,700-0031,岡山県岡山市北区富町1丁目2-4,tsusho,086-250-6450,H28.7.1,10,岡山県岡山市北区富町1丁目2-4,matched,34.665901,133.910263,岡山県岡山市北区富町一丁目２番４号,1
あそび王国 野田本部事業所,700-0971,岡山県岡山市北区野田３丁目６－７,tsusho,086-239-0107,H28.7.1,20,岡山県岡山市北区野田3丁目6-7,matched,34.650497,133.901337,岡山県岡山市北区野田三丁目６番７号,1
放課後等デイサービスしん,700-0803,岡山県岡山市北区北方1丁目10-5,tsusho,086-953-4240,H28.7.1,10,岡山県岡山市北区北方1丁目10-5,matched,34.687393,133.930176,岡山県岡山市北区北方一丁目１０番５号,1
雨上がりの夜空に,700-0975,岡山県岡山市北区今2-3-110,tsusho,086-250-7367,H28.9.1,20,岡山県岡山市北区今2-3-110,matched,34.649376,133.897339,岡山県岡山市北区今二丁目３番,1
トムソーヤ野田教室,700-0971,岡山県岡山市北区野田3丁目18-40丸山ビル1F,tsusho,086-363-1144,H29.3.1,10,岡山県岡山市北区野田3丁目18-40丸山ビル1F,matched,34.65279,133.896378,岡山県岡山市北区野田三丁目１８番４０号,1
インクルーシブ教室 白ゆり,701-1214,岡山県岡山市北区辛川市場321-3,tsusho,086-238-1110,H29.4.1,10,岡山県岡山市北区辛川市場321-3,matched,34.687,133.865005,岡山県岡山市北区辛川市場,1
こども発達支援センターばんばん,700-0833,岡山県岡山市北区天瀬2-21（２F）,tsusho,086-238-4715,H29.5.1,10,岡山県岡山市北区天瀬2-21(2F),matched,34.655952,133.928238,岡山県岡山市北区天瀬２番２１号,1
びーふらっと,700-0975,岡山県岡山市北区今6丁目14番20号 プロキオンII 1F西号室,tsusho,086-244-2423,H29.5.1,10,岡山県岡山市北区今6丁目14-20プロキオンII1F西室,matched,34.643806,133.896576,岡山県岡山市北区今六丁目１４番２０号,1
COMPASS発達支援センター岡山,700-0921,岡山県岡山市北区東古松3丁目4-14,tsusho,086-222-0178,H29.6.1,20,岡山県岡山市北区東古松3丁目4-14,matched,34.646111,133.913895,岡山県岡山市北区東古松三丁目４番１４号,1
星とたんぽぽ,700-0934,岡山県岡山市北区奥田南町4-59,tsusho,086-236-8808,H29.7.1,10,岡山県岡山市北区奥田南町4-59,matched,34.641708,133.922409,岡山県岡山市北区奥田南町４番５９号,1
きもちとことばのはぐくみ教室,700-0985,岡山県岡山市北区厚生町二丁目2番14号 サンハイム厚生町206号室,tsusho,086-224-6012,H29.9.1,10,岡山県岡山市北区厚生町二丁目2-14サンハイム厚生町206室,matched,34.656261,133.913727,岡山県岡山市北区厚生町二丁目２番１４号,1
こどもサポート教室きらり備前三門校,700-0051,岡山県岡山市北区下伊福上町15-20,tsusho,086-230-7533,H29.10.1,10,岡山県岡山市北区下伊福上町15-20,matched,34.668007,133.901535,岡山県岡山市北区下伊福上町１５番２０号,1
